"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Hampson, Garrett","641658","COL","115","2B","25","R","0.00","0.55","0.86","1.12","1.35","1.57","1.77","1.97","2.15","2.34","2.51","2.69","2.86","3.02","3.19","3.35","3.52","3.69","3.86"
"Happ, Ian","664023","CHC","112","CF","25","L","0.00","0.56","0.88","1.15","1.39","1.61","1.83","2.03","2.22","2.41","2.60","2.78","2.97","3.14","3.33","3.51","3.69","3.87","4.06"
"Harper, Bryce","547180","PHI","143","RF","27","L","0.00","0.57","0.89","1.16","1.40","1.62","1.83","2.03","2.22","2.41","2.60","2.78","2.96","3.13","3.31","3.48","3.66","3.85","4.05"
"Hays, Austin","669720","BAL","110","CF","24","R","0.00","0.57","0.89","1.16","1.40","1.62","1.83","2.03","2.22","2.41","2.60","2.78","2.96","3.14","3.31","3.49","3.66","3.84","4.02"
"Hernández, César","514917","CLE","114","2B","30","L","0.00","0.55","0.86","1.12","1.35","1.56","1.76","1.95","2.14","2.32","2.50","2.67","2.85","3.02","3.18","3.35","3.52","3.69","3.87"
"Hernández, Enrique","571771","LAD","119","2B","28","R","0.00","0.55","0.88","1.15","1.40","1.63","1.85","2.05","2.25","2.44","2.64","2.82","3.01","3.19","3.38","3.56","3.74","3.92","4.12"
"Heyward, Jason","518792","CHC","112","RF","30","L","0.00","0.55","0.86","1.13","1.37","1.59","1.80","2.01","2.20","2.39","2.59","2.77","2.96","3.13","3.31","3.49","3.67","3.85","4.05"
"Hiura, Keston","669374","MIL","158","2B","23","R","0.00","0.54","0.86","1.12","1.36","1.59","1.80","2.01","2.21","2.40","2.59","2.78","2.96","3.14","3.32","3.50","3.68","3.86","4.04"
"Hoerner, Nico","663538","CHC","112","2B","23","R","0.00","0.55","0.87","1.14","1.38","1.60","1.80","2.00","2.19","2.38","2.56","2.74","2.92","3.09","3.27","3.44","3.61","3.78","3.96"
"Hosmer, Eric","543333","SD","135","1B","30","L","0.00","0.57","0.91","1.20","1.45","1.68","1.90","2.12","2.32","2.52","2.72","2.91","3.10","3.29","3.48","3.67","3.87","4.07","4.29"
"Iglesias, Jose","578428","BAL","110","SS","30","R","0.00","0.55","0.87","1.13","1.37","1.59","1.80","1.99","2.19","2.38","2.56","2.74","2.91","3.08","3.26","3.43","3.60","3.77","3.95"
"Jiménez, Eloy","650391","CWS","145","LF","23","R","0.00","0.56","0.90","1.17","1.42","1.65","1.87","2.07","2.27","2.46","2.65","2.83","3.01","3.19","3.37","3.54","3.71","3.89","4.07"
"Kiermaier, Kevin","595281","TB","139","CF","30","L","0.00","0.55","0.86","1.13","1.36","1.57","1.78","1.97","2.16","2.34","2.51","2.69","2.86","3.03","3.20","3.36","3.53","3.70","3.88"
"Kiner-Falefa, Isiah","643396","TEX","140","3B","25","R","0.00","0.56","0.88","1.14","1.38","1.60","1.81","2.01","2.20","2.39","2.57","2.75","2.93","3.11","3.29","3.46","3.63","3.81","3.99"
"La Stella, Tommy","600303","ATH","133","2B","31","L","0.00","0.55","0.86","1.13","1.38","1.61","1.83","2.04","2.24","2.44","2.64","2.83","3.03","3.22","3.41","3.60","3.80","4.00","4.23"
"Laureano, Ramón","657656","ATH","133","CF","25","R","0.00","0.56","0.86","1.13","1.37","1.58","1.80","2.00","2.19","2.38","2.56","2.75","2.93","3.11","3.28","3.46","3.63","3.81","3.99"
"LeMahieu, DJ","518934","NYY","147","2B","31","R","0.00","0.55","0.88","1.16","1.40","1.63","1.85","2.05","2.26","2.46","2.65","2.84","3.02","3.21","3.39","3.58","3.76","3.96","4.15"
"Lewis, Kyle","641786","SEA","136","CF","24","R","0.00","0.55","0.86","1.12","1.35","1.57","1.78","1.97","2.16","2.34","2.52","2.70","2.88","3.06","3.23","3.40","3.57","3.74","3.93"
"Lindor, Francisco","596019","CLE","114","SS","26","L","0.00","0.55","0.87","1.14","1.38","1.60","1.81","2.02","2.22","2.41","2.60","2.78","2.96","3.14","3.31","3.50","3.68","3.87","4.08"
