order	player	team	pp	pp_pct	estimate_pct	range_low_pct	range_high_pct	band	recommendation	strength	confidence	gap	physical_coverage	peak_z	accel_z	accel_conf	end_z	end_conf	S_z	game_z	community_z	peak_share	reason_code	supporting_lanes
38	髙部 瑛斗	千葉ロッテマリーンズ	90	0.9638	0.945	0.795	0.985	VERY_FAST	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.01880000000000004	0.4273221594404618	1.5873	0.6744907594765952	0.024782115433464647	0.6744907594765952	0.06629174936807469	1.2469	1.2764021162321038	0	0.7151195346702386	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
39	古賀 悠斗	埼玉西武ライオンズ	47	0.1344	0.185	0.005	0.605	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.050600000000000006	0.4	-0.808	0	0	0	0	-0.61	-0.8111922400984402	0.5	0.649503301824963	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	community_physical
40	外崎 修汰	埼玉西武ライオンズ	68	0.6021	0.405	0.055	0.815	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	-0.19709999999999994	0.5629029478137584	0.5493	-1.0969620346635676	0.3622063496461312	-1.0969620346635676	0.4208034763997299	-0.1795	-0.3070143187625328	0	0.3761905465732573	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	initial_acceleration,end_to_end_maintenance,game_context
41	源田 壮亮	埼玉西武ライオンズ	80	0.8346	0.955	0.865	0.985	ELITE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	HIGH	0.12039999999999995	0.7939661483555183	1.0284	0.8563003043480076	0.6210385067557158	0.8563003043480076	0.692181987762678	0.9107	0.7458390444344316	0	0.45818606108168725	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed,initial_acceleration,end_to_end_maintenance,S_context,game_context
42	滝澤 夏央	埼玉西武ライオンズ	85	0.9251	0.885	0.665	0.985	VERY_FAST	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.040100000000000025	0.4273221594404618	1.1082	0.6744907594765952	0.024782115433464647	0.6744907594765952	0.06629174936807469	0.848	0.894198307092784	0	0.7187876769779963	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
43	石井 一成	埼玉西武ライオンズ	79	0.8142	0.725	0.265	0.935	ABOVE_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	-0.08920000000000006	0.328	0.7888	0	0	0	0	0.1061	0.1151651110177572	0	0.9302685128069171	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
44	ファビアン	広島東洋カープ	61	0.3721	0.415	0.045	0.835	AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.042899999999999994	0.328	-0.1693	0	0	0	0	0	-0.7290801262115266	0	0.5168459815849569	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	
45	モンテロ	広島東洋カープ	49	0.1705	0.285	0.055	0.685	BELOW_AVERAGE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.11449999999999996	0.7635178554898033	0.2299	-0.5605125025159875	0.7571521103110963	-0.7974945453792965	0.6945740746549149	0	-0.8125113805248637	0	0.1737886360619646	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	peak_speed
46	名原 典彦	広島東洋カープ	0	0	0.895	0.685	0.985	VERY_FAST	POWERPRO_TOO_LOW	PEAK_LED_CONCERN_ONLY	LOW	0.895	0.4741466295517435	1.6671	-0.5299570253030363	0.06918820524280767	-0.5299570253030363	0.17796722659633746	0	0	0	0.9443526329360535	LARGE_DIRECTIONAL_GAP_WITH_PARTIAL_SUPPORT	peak_speed
47	坂倉 将吾	広島東洋カープ	68	0.6021	0.095	0.005	0.525	SLOW	POWERPRO_TOO_HIGH_OR_STALE	STRONG_MULTI_PHYSICAL	MEDIUM	-0.5071	0.43856616679830723	-0.808	-2.216183923994518	0.03521411973578703	-2.216183923994518	0.0933397695919036	-0.3475	-0.7799669850539654	0	0.6360680944747037	POWERPRO_ABOVE_INTEGRATED_EVIDENCE_INTERVAL	peak_speed,end_to_end_maintenance,S_context,game_context
