player,team,mine,stat,npbDerived,npbUsed,pp,rawDiff,scalePart,scaleAdj,conflictRaw,conflictResid,conflictVerdict,stale,causes,games,pa,years,ageNow,nChg,lastChangeYear,directT90,shortD,exposure
牧原 大成,福岡ソフトバンクホークス,76.2,63.9,80.08377833679049,33.5,82,-5.799999999999997,-13.185493985541271,7.385493985541274,16.18377833679049,1.7651580858635878,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD,97,368,4,,0,,0,0,SOURCE_PA_200_399
近藤 健介,福岡ソフトバンクホークス,58.2,44.5,62.50673512119306,31.2,64,-5.799999999999997,-1.0596996812996835,-4.740300318700314,18.00673512119306,3.5881148702661587,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,97,417,4,,3,2022,0,0,SOURCE_PA_400_PLUS
丸 佳浩,読売ジャイアンツ,59.5,45.3,64.03517366167978,31.4,65,-5.5,-1.935451492161576,-3.564548507838424,18.73517366167978,4.31655341075288,,NO_STALE_EVIDENCE,,46,82,4,,0,,0,0,SOURCE_PA_50_99
佐々木 俊輔,読売ジャイアンツ,72.6,60.7,76.26268198557366,33,76,-3.4000000000000057,-10.760335124692944,7.360335124692938,15.562681985573661,1.14406173464676,,NO_STALE_EVIDENCE,MODEL_SCALE,81,249,2,,1,2024,0,0,SOURCE_PA_200_399
吉川 尚輝,読売ジャイアンツ,68.8,57.2,72.44158563435681,32.5,80,-11.200000000000003,-8.20044521601973,-2.9995547839802725,15.24158563435681,0.8229653834299082,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD,40,144,4,,0,,0,0,SOURCE_PA_100_199
大城 卓三,読売ジャイアンツ,44.7,36.8,47.22234971632571,29.2,24,20.700000000000003,8.034646046881505,12.665353953118498,10.422349716325712,-3.996270534601189,,NO_STALE_EVIDENCE,MODEL_SCALE,70,227,3,,2,2024,0,0,SOURCE_PA_200_399
岸田 行倫,読売ジャイアンツ,47.7,44.2,48.75078825681243,29.4,55,-7.299999999999997,6.013680329507906,-13.313680329507903,4.5507882568124245,-9.867831994114477,,POWERPRO_STALE_SUPPORTED,MODEL_SCALE|POWERPRO_STALE_OR_ODD,56,196,2,,0,,0,0,SOURCE_PA_100_199
松本 剛,読売ジャイアンツ,60.8,50.4,64.03517366167978,31.4,69,-8.200000000000003,-2.8112033030234613,-5.3887966969765415,13.63517366167978,-0.7834465892471218,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,88,290,4,,1,2022,0,0,SOURCE_PA_200_399
中野 拓夢,阪神タイガース,72.6,63.5,75.49846271533028,32.9,75,-2.4000000000000057,-10.760335124692944,8.360335124692938,11.998462715330277,-2.4201575355966245,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD,99,407,4,,2,2021,0,0,SOURCE_PA_400_PLUS
伏見 寅威,阪神タイガース,44.3,37.2,46.45813044608235,29.1,40,4.299999999999997,8.30410814253132,-4.004108142531322,9.258130446082347,-5.160489804844554,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK,35,105,4,,1,2019,0,0,SOURCE_PA_100_199
佐藤 輝明,阪神タイガース,65.2,52,69.38470855338338,32.1,68,-2.799999999999997,-5.775286355171417,2.97528635517142,17.384708553383376,2.966088302456475,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD,99,420,4,,0,,0,0,SOURCE_PA_400_PLUS
坂本 誠志郎,阪神タイガース,52.7,45.8,54.864542418759385,30.2,56,-3.299999999999997,2.6454041338852434,-5.945404133885241,9.064542418759387,-5.354077832167514,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,63,194,4,,1,2017,0,0,SOURCE_PA_100_199
大山 悠輔,阪神タイガース,53.4,41.3,57.15720022948949,30.5,58,-4.600000000000001,2.173845466498072,-6.773845466498074,15.857200229489493,1.4385799785625917,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,97,402,4,,1,2017,0,0,SOURCE_PA_400_PLUS
小幡 竜平,阪神タイガース,69.8,54.2,74.73424344508689,32.8,77,-7.200000000000003,-8.874100455144259,1.6741004551442558,20.534243445086886,6.115623194159985,,POWERPRO_STALE_POSSIBLE,MODEL_SCALE|POWERPRO_STALE_OR_ODD|CURRENT_EVIDENCE_WEAK,36,104,2,,0,,0,0,SOURCE_PA_100_199
木浪 聖也,阪神タイガース,51.6,46,53.33610387827264,30,59,-7.399999999999999,3.386424896922229,-10.786424896922227,7.336103878272638,-7.082516372654263,,POWERPRO_STALE_SUPPORTED,POWERPRO_STALE_OR_ODD,46,134,4,,2,2023,0,0,SOURCE_PA_100_199
梅野 隆太郎,阪神タイガース,54.2,42.6,57.92141949973288,30.6,57,-2.799999999999997,1.6349212751984439,-4.434921275198441,15.321419499732876,0.9027992488059748,,NO_STALE_EVIDENCE,CURRENT_EVIDENCE_WEAK,23,71,4,,1,2025,0,0,SOURCE_PA_50_99
森下 翔太,阪神タイガース,55.1,48.5,57.15720022948949,30.5,60,-4.899999999999999,1.0286315599863727,-5.928631559986371,8.65720022948949,-5.761420021437411,,POWERPRO_STALE_POSSIBLE,POWERPRO_STALE_OR_ODD,99,432,3,,0,,0,0,SOURCE_PA_400_PLUS
